mock_ue_id,lon,lat,tick
0,-74.01981188982813,40.704179767633335,0
1,-73.95808447868649,40.78835279260651,0
2,-73.97187046608407,40.77095775796067,0
3,-74.03886995695453,40.717314410204565,0
4,-73.95020010923058,40.70918445126808,0
5,-73.96209666387001,40.7184047589542,0
6,-74.02158014542522,40.79793503805197,0
7,-73.96629179915138,40.74582575474766,0
8,-74.03928246454635,40.77840531146019,0
9,-73.95008858184264,40.76364167652222,0
10,-73.98339658857223,40.75725831101575,0
11,-73.98497863469238,40.714499437601454,0
12,-74.0410123494273,40.794581904418585,0
13,-73.96030828701242,40.730193966553266,0
14,-74.04712177688847,40.75783892289326,0
15,-74.02589495998575,40.77001990490755,0
16,-74.03566897912681,40.76485539371022,0
17,-73.97231975215419,40.79413461090661,0
18,-74.03009442840855,40.71485177676522,0
19,-73.95894572536318,40.75085339684927,0
20,-73.9843978008585,40.740434656540685,0
21,-74.0463821425068,40.74741523095035,0
22,-74.04943847383568,40.71194853239649,0
23,-74.04490764583426,40.7133555107283,0
24,-73.98943867712252,40.72777838117299,0
25,-73.96990797278742,40.73053421953677,0
26,-74.02623652283013,40.74281486116765,0
27,-73.96504808058162,40.761098440144345,0
28,-74.0442730964007,40.76343637474485,0
29,-73.96987415665686,40.741107980823735,0
30,-73.95719299869982,40.74094479603079,0
31,-73.97278468649166,40.721778398944345,0
32,-73.98025895655958,40.75889103115395,0
33,-73.96621413927208,40.73168922258731,0
34,-74.04589846206062,40.70361181648904,0
35,-74.02980630180389,40.74189887352186,0
36,-74.03750118927427,40.74741429161213,0
37,-73.99951752598626,40.72260807942829,0
38,-73.97552980162577,40.757162511326854,0
39,-73.98703915798782,40.75664414692263,0
40,-73.96482115782312,40.770195722970854,0
41,-74.03453443113492,40.76477439974316,0
42,-73.97656627807825,40.76528862012789,0
43,-74.03068970836992,40.73162104118847,0
44,-74.02291077395805,40.7787596942163,0
45,-73.97907922360443,40.75493793552835,0
46,-73.95199562099144,40.743154705562276,0
47,-73.98886095961663,40.762592819556126,0
48,-74.04455081107028,40.73609088252601,0
49,-73.9883555441594,40.75126793311276,0
50,-73.96485869175606,40.72151084272769,0
51,-74.01411834279851,40.732039737031755,0
52,-73.96550865495817,40.79383970298521,0
53,-74.0210982041408,40.70475038056131,0
54,-73.99101944364388,40.74508897034099,0
