cell_id,avg_rsrp,lon,lat,cell_el_deg
cell_1_0,-142.79872488161874,-74.03497376469275,40.76184372740068,12.0
cell_1_1,-141.79872488161874,-74.03497376469275,40.76184372740068,6.0
cell_1_2,-146.29872488161874,-74.03497376469275,40.76184372740068,19.0
cell_2_0,-153.70527206686074,-74.03497376469275,40.76184372740068,14.0
cell_2_1,-154.70527206686074,-74.03497376469275,40.76184372740068,16.0
cell_2_2,-155.20527206686074,-74.03497376469275,40.76184372740068,17.0
cell_3_0,-130.54579236111704,-74.03497376469275,40.76184372740068,2.0
cell_3_1,-128.04579236111704,-74.03497376469275,40.76184372740068,7.0
cell_3_2,-128.54579236111704,-74.03497376469275,40.76184372740068,6.0
cell_4_0,-122.91883987903569,-74.03497376469275,40.76184372740068,8.0
cell_4_1,-124.41883987903569,-74.03497376469275,40.76184372740068,5.0
cell_4_2,-124.91883987903569,-74.03497376469275,40.76184372740068,4.0
cell_5_0,-138.5934306101654,-74.03497376469275,40.76184372740068,18.0
cell_5_1,-134.0934306101654,-74.03497376469275,40.76184372740068,9.0
cell_5_2,-137.0934306101654,-74.03497376469275,40.76184372740068,1.0
cell_1_0,-150.34458536009043,-73.95389429157612,40.74325786396286,11.0
cell_1_1,-151.34458536009043,-73.95389429157612,40.74325786396286,13.0
cell_1_2,-148.84458536009043,-73.95389429157612,40.74325786396286,8.0
cell_2_0,-131.60971782502605,-73.95389429157612,40.74325786396286,13.0
cell_2_1,-130.60971782502605,-73.95389429157612,40.74325786396286,5.0
cell_2_2,-134.60971782502605,-73.95389429157612,40.74325786396286,19.0
cell_3_0,-155.55427485783562,-73.95389429157612,40.74325786396286,10.0
cell_3_1,-158.05427485783562,-73.95389429157612,40.74325786396286,1.0
cell_3_2,-157.55427485783562,-73.95389429157612,40.74325786396286,2.0
cell_4_0,-155.48022986695543,-73.95389429157612,40.74325786396286,14.0
cell_4_1,-155.98022986695543,-73.95389429157612,40.74325786396286,1.0
cell_4_2,-154.48022986695543,-73.95389429157612,40.74325786396286,4.0
cell_5_0,-151.83701633462488,-73.95389429157612,40.74325786396286,9.0
cell_5_1,-153.83701633462488,-73.95389429157612,40.74325786396286,13.0
cell_5_2,-154.83701633462488,-73.95389429157612,40.74325786396286,15.0
cell_1_0,-142.05370077394795,-74.0078653659939,40.77196021931978,8.0
cell_1_1,-143.05370077394795,-74.0078653659939,40.77196021931978,6.0
cell_1_2,-143.05370077394795,-74.0078653659939,40.77196021931978,10.0
cell_2_0,-146.37575996775251,-74.0078653659939,40.77196021931978,4.0
cell_2_1,-148.37575996775251,-74.0078653659939,40.77196021931978,16.0
cell_2_2,-145.87575996775251,-74.0078653659939,40.77196021931978,11.0
cell_3_0,-143.4690196754619,-74.0078653659939,40.77196021931978,7.0
cell_3_1,-147.9690196754619,-74.0078653659939,40.77196021931978,18.0
cell_3_2,-145.4690196754619,-74.0078653659939,40.77196021931978,3.0
cell_4_0,-139.46542901094344,-74.0078653659939,40.77196021931978,5.0
